,id,year,rating,votes
348,348,1998,8.8,2491
349,349,1998,8.8,132
350,350,1997,8.8,253
351,351,1995,8.8,775
352,352,1994,8.8,795
353,353,2019,8.7,15
354,354,2018,8.7,330
355,355,2018,8.7,18
356,356,2018,8.7,44
357,357,2002,8.7,85
358,358,2002,8.7,34
359,359,2017,8.7,636
360,360,2016,8.7,90
361,361,2017,8.7,312
362,362,2017,8.7,172
363,363,2010,8.7,11
364,364,2017,8.7,7
365,365,2017,8.7,2649
366,366,2019,8.7,145
367,367,1991,8.7,19
368,368,2013,8.7,160
369,369,2015,8.7,1648
370,370,2017,8.7,2779
371,371,2017,8.7,3725
372,372,2015,8.7,1998
373,373,2013,8.7,2064
374,374,2014,8.7,5437
375,375,2013,8.7,7172
376,376,2004,8.7,300
377,377,2013,8.7,90
378,378,2013,8.7,83
379,379,2013,8.7,17045
380,380,2012,8.7,6384
381,381,2013,8.7,1562
382,382,2011,8.7,98
383,383,2007,8.7,73
384,384,2017,8.7,19
385,385,2019,8.7,17
386,386,2003,8.7,17
387,387,2006,8.7,23
388,388,2011,8.7,15493
389,389,2021,8.7,9
390,390,2010,8.7,15645
391,391,1997,8.7,6
392,392,2008,8.7,54
393,393,2021,8.7,37
394,394,2005,8.7,54
395,395,2021,8.7,92
396,396,2019,8.7,14
397,397,2016,8.7,48
398,398,2004,8.7,6
399,399,2019,8.7,31
400,400,2021,8.7,874
401,401,2021,8.7,3507
402,402,2021,8.7,229
403,403,2018,8.7,15
404,404,2019,8.7,7
405,405,2014,8.7,12
406,406,2020,8.7,26
407,407,2009,8.7,80
408,408,2008,8.7,242
409,409,2021,8.7,540
410,410,2020,8.7,11
411,411,2008,8.7,5518
412,412,2021,8.7,1249
413,413,2020,8.7,34
414,414,2020,8.7,31
415,415,2020,8.7,920
416,416,2020,8.7,6
417,417,2021,8.7,4806
418,418,2019,8.7,161
419,419,2007,8.7,866
420,420,2019,8.7,7
421,421,2007,8.7,4266
422,422,2016,8.7,6
423,423,2020,8.7,22
424,424,2020,8.7,558
425,425,2019,8.7,16
426,426,2020,8.7,213
427,427,2019,8.7,511
428,428,2014,8.7,17
429,429,2006,8.7,41
430,430,2006,8.7,275
431,431,2005,8.7,29
432,432,2005,8.7,49
433,433,2001,8.7,21
434,434,2005,8.7,178
435,435,2005,8.7,38
436,436,2004,8.7,1317
437,437,1999,8.7,301
438,438,2000,8.7,57
439,439,1996,8.7,184
440,440,2005,8.7,6935
441,441,1993,8.7,10
442,442,2005,8.7,811
443,443,1992,8.7,105
444,444,2004,8.7,179
445,445,2001,8.7,33
446,446,2004,8.7,1374
447,447,2004,8.7,1965
448,448,2001,8.7,1684
449,449,1995,8.7,12
450,450,2005,8.7,1684
451,451,1998,8.7,143
452,452,2003,8.7,604
453,453,1996,8.7,555
454,454,2004,8.7,1675
455,455,1988,8.7,246
456,456,2004,8.7,9617
457,457,2002,8.7,270
458,458,2003,8.7,3748
459,459,2001,8.7,19
460,460,1998,8.7,91
461,461,2000,8.7,996
462,462,2001,8.7,15743
463,463,1996,8.7,1450
464,464,2000,8.7,1542
465,465,1993,8.7,49
466,466,1996,8.7,3163
467,467,1992,8.7,122
468,468,1998,8.7,1495
469,469,1996,8.7,1129
470,470,1999,8.7,5957
471,471,1993,8.7,1021
472,472,1997,8.7,506
473,473,1996,8.7,348
474,474,2018,8.6,165
475,475,2017,8.6,9
476,476,2011,8.6,15
477,477,2010,8.6,7
478,478,2004,8.6,55
479,479,2018,8.6,1461
480,480,2020,8.6,2924
481,481,2018,8.6,139
482,482,2018,8.6,1091
483,483,2018,8.6,1086
484,484,2017,8.6,186
485,485,2016,8.6,41
486,486,2017,8.6,292
487,487,2017,8.6,58
488,488,1998,8.6,9
489,489,2001,8.6,24
490,490,2013,8.6,21
491,491,2021,8.6,87
492,492,2008,8.6,27
493,493,2006,8.6,30
494,494,2016,8.6,865
495,495,2015,8.6,235
496,496,2012,8.6,706
497,497,2017,8.6,20
498,498,1999,8.6,38
499,499,2012,8.6,65
500,500,2016,8.6,100
501,501,2018,8.6,7
502,502,2016,8.6,43
503,503,2017,8.6,506
504,504,2016,8.6,70
505,505,2016,8.6,104
506,506,2015,8.6,407
507,507,2015,8.6,43
508,508,1996,8.6,20
509,509,2015,8.6,12864
510,510,2015,8.6,8
511,511,2017,8.6,3332
512,512,2011,8.6,744
513,513,2015,8.6,996
514,514,2014,8.6,4926
515,515,2017,8.6,7738
516,516,2013,8.6,30
517,517,2012,8.6,708
518,518,2011,8.6,15
519,519,2011,8.6,873
520,520,2011,8.6,5
521,521,2012,8.6,266
522,522,1990,8.6,49
523,523,2011,8.6,55
524,524,2009,8.6,274
525,525,2011,8.6,29
526,526,2019,8.6,12
527,527,2019,8.6,5
528,528,2018,8.6,36
529,529,2012,8.6,3607
530,530,2008,8.6,9
531,531,2010,8.6,6876
532,532,2022,8.6,9
533,533,2013,8.6,31
534,534,2021,8.6,120
535,535,2020,8.6,19
536,536,2020,8.6,87
537,537,2008,8.6,127
538,538,2012,8.6,75
539,539,2020,8.6,17
540,540,2009,8.6,1449
541,541,2020,8.6,59
542,542,2009,8.6,68
543,543,2015,8.6,16
544,544,2020,8.6,31
545,545,2008,8.6,51
546,546,2009,8.6,4667
547,547,2018,8.6,14
548,548,2012,8.6,10541
549,549,2021,8.6,118
550,550,2007,8.6,15
551,551,2004,8.6,13
552,552,2020,8.6,42
553,553,2011,8.6,5606
554,554,2008,8.6,29
555,555,2017,8.6,5
556,556,2005,8.6,82
557,557,2020,8.6,398
558,558,2006,8.6,9
559,559,2021,8.6,392
560,560,2009,8.6,6
561,561,2019,8.6,47
562,562,2007,8.6,234
563,563,1993,8.6,61
564,564,2020,8.6,9
565,565,1999,8.6,54
566,566,1996,8.6,6
567,567,2019,8.6,68
568,568,2019,8.6,88
569,569,2021,8.6,7
570,570,2006,8.6,24
571,571,2016,8.6,21
572,572,2008,8.6,9
573,573,2012,8.6,14
574,574,2006,8.6,73
575,575,2006,8.6,36
576,576,2007,8.6,427
577,577,1989,8.6,7
578,578,2008,8.6,4720
579,579,2006,8.6,5241
580,580,1995,8.6,30
581,581,2006,8.6,1751
582,582,2005,8.6,1003
583,583,2005,8.6,1486
584,584,2005,8.6,79
585,585,1992,8.6,100
586,586,2004,8.6,3861
587,587,2004,8.6,357
588,588,2004,8.6,109
589,589,2005,8.6,2820
590,590,2004,8.6,139
591,591,1998,8.6,14
592,592,2003,8.6,711
593,593,2001,8.6,48
594,594,2001,8.6,232
595,595,2004,8.6,3174
596,596,2000,8.6,6
597,597,2003,8.6,6825
598,598,1997,8.6,46
599,599,2006,8.6,1194
600,600,1993,8.6,80
601,601,1997,8.6,51
602,602,2002,8.6,500
603,603,2001,8.6,1919
604,604,1999,8.6,72
605,605,1999,8.6,22
606,606,1993,8.6,1390
607,607,1997,8.6,41
608,608,1993,8.6,4962
609,609,1992,8.6,182
610,610,2001,8.6,127
611,611,1999,8.6,1954
612,612,1995,8.6,1769
613,613,1999,8.6,538
614,614,2000,8.6,2984
615,615,2000,8.6,1473
616,616,1995,8.6,51
617,617,1995,8.6,1724
618,618,1994,8.6,2894
619,619,1999,8.6,936
620,620,1993,8.6,163
621,621,1993,8.6,74
622,622,1999,8.6,258
623,623,1999,8.6,4687
624,624,1995,8.6,1584
625,625,1992,8.6,398
626,626,1998,8.6,540
627,627,1986,8.6,2967
628,628,1994,8.6,323
629,629,1994,8.6,443
630,630,1996,8.6,28
631,631,1999,8.6,534
632,632,1994,8.6,126
633,633,2018,8.5,290
634,634,2000,8.5,17
635,635,2008,8.5,7
636,636,2018,8.5,13
637,637,2013,8.5,46
638,638,2019,8.5,2036
639,639,2018,8.5,7145
640,640,2018,8.5,1226
641,641,2018,8.5,506
642,642,2015,8.5,18
643,643,2016,8.5,21
644,644,2018,8.5,2326
645,645,2013,8.5,290
646,646,2017,8.5,89
647,647,2017,8.5,33
648,648,2010,8.5,23
649,649,2006,8.5,6
